Part, Description, Value, Case, Power, Supplier 1, Supplier Part Number 1, Library Path, Library Ref, Footprint Path, Footprint Ref, Company, Comment 
RES0402_2.55, "RES 0402 2.55Ohm 1/16W", 2.55, 0402, 1/16, Digikey, 541-2.55LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_2.61, "RES 0402 2.61Ohm 1/16W", 2.61, 0402, 1/16, Digikey, 541-2.61LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_2.67, "RES 0402 2.67Ohm 1/16W", 2.67, 0402, 1/16, Digikey, 541-2.67LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_2.74, "RES 0402 2.74Ohm 1/16W", 2.74, 0402, 1/16, Digikey, 541-2.74LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_2.80, "RES 0402 2.80Ohm 1/16W", 2.80, 0402, 1/16, Digikey, 541-2.8LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_2.87, "RES 0402 2.87Ohm 1/16W", 2.87, 0402, 1/16, Digikey, 541-2.87LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_2.94, "RES 0402 2.94Ohm 1/16W", 2.94, 0402, 1/16, Digikey, 541-2.94LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_3.01, "RES 0402 3.01Ohm 1/16W", 3.01, 0402, 1/16, Digikey, 541-3.01LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_3.09, "RES 0402 3.09Ohm 1/16W", 3.09, 0402, 1/16, Digikey, 541-3.09LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_3.16, "RES 0402 3.16Ohm 1/16W", 3.16, 0402, 1/16, Digikey, 541-3.16LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_3.24, "RES 0402 3.24Ohm 1/16W", 3.24, 0402, 1/16, Digikey, 541-3.24LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_3.32, "RES 0402 3.32Ohm 1/16W", 3.32, 0402, 1/16, Digikey, 541-3.32LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_3.40, "RES 0402 3.40Ohm 1/16W", 3.40, 0402, 1/16, Digikey, 541-3.4LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_3.48, "RES 0402 3.48Ohm 1/16W", 3.48, 0402, 1/16, Digikey, 541-3.48LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_3.57, "RES 0402 3.57Ohm 1/16W", 3.57, 0402, 1/16, Digikey, 541-3.57LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_3.65, "RES 0402 3.65Ohm 1/16W", 3.65, 0402, 1/16, Digikey, 541-3.65LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_3.74, "RES 0402 3.74Ohm 1/16W", 3.74, 0402, 1/16, Digikey, 541-3.74LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_3.83, "RES 0402 3.83Ohm 1/16W", 3.83, 0402, 1/16, Digikey, 541-3.83LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_3.92, "RES 0402 3.92Ohm 1/16W", 3.92, 0402, 1/16, Digikey, 541-3.92LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_4.02, "RES 0402 4.02Ohm 1/16W", 4.02, 0402, 1/16, Digikey, 541-4.02LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_4.12, "RES 0402 4.12Ohm 1/16W", 4.12, 0402, 1/16, Digikey, 541-4.12LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_4.22, "RES 0402 4.22Ohm 1/16W", 4.22, 0402, 1/16, Digikey, 541-4.22LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_4.32, "RES 0402 4.32Ohm 1/16W", 4.32, 0402, 1/16, Digikey, 541-4.32LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_4.42, "RES 0402 4.42Ohm 1/16W", 4.42, 0402, 1/16, Digikey, 541-4.42LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_4.53, "RES 0402 4.53Ohm 1/16W", 4.53, 0402, 1/16, Digikey, 541-4.53LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_4.64, "RES 0402 4.64Ohm 1/16W", 4.64, 0402, 1/16, Digikey, 541-4.64LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_4.75, "RES 0402 4.75Ohm 1/16W", 4.75, 0402, 1/16, Digikey, 541-4.75LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_4.87, "RES 0402 4.87Ohm 1/16W", 4.87, 0402, 1/16, Digikey, 541-4.87LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_4.99, "RES 0402 4.99Ohm 1/16W", 4.99, 0402, 1/16, Digikey, 541-4.99LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_5.11, "RES 0402 5.11Ohm 1/16W", 5.11, 0402, 1/16, Digikey, 541-5.11LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_5.23, "RES 0402 5.23Ohm 1/16W", 5.23, 0402, 1/16, Digikey, 541-5.23LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_5.36, "RES 0402 5.36Ohm 1/16W", 5.36, 0402, 1/16, Digikey, 541-5.36LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_5.49, "RES 0402 5.49Ohm 1/16W", 5.49, 0402, 1/16, Digikey, 541-5.49LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_5.62, "RES 0402 5.62Ohm 1/16W", 5.62, 0402, 1/16, Digikey, 541-5.62LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_5.76, "RES 0402 5.76Ohm 1/16W", 5.76, 0402, 1/16, Digikey, 541-5.76LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_5.90, "RES 0402 5.90Ohm 1/16W", 5.90, 0402, 1/16, Digikey, 541-5.9LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_6.04, "RES 0402 6.04Ohm 1/16W", 6.04, 0402, 1/16, Digikey, 541-6.04LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_6.19, "RES 0402 6.19Ohm 1/16W", 6.19, 0402, 1/16, Digikey, 541-6.19LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_6.34, "RES 0402 6.34Ohm 1/16W", 6.34, 0402, 1/16, Digikey, 541-6.34LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_6.49, "RES 0402 6.49Ohm 1/16W", 6.49, 0402, 1/16, Digikey, 541-6.49LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_6.65, "RES 0402 6.65Ohm 1/16W", 6.65, 0402, 1/16, Digikey, 541-6.65LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_6.81, "RES 0402 6.81Ohm 1/16W", 6.81, 0402, 1/16, Digikey, 541-6.81LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_6.98, "RES 0402 6.98Ohm 1/16W", 6.98, 0402, 1/16, Digikey, 541-6.98LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_7.15, "RES 0402 7.15Ohm 1/16W", 7.15, 0402, 1/16, Digikey, 541-7.15LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_7.32, "RES 0402 7.32Ohm 1/16W", 7.32, 0402, 1/16, Digikey, 541-7.32LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_7.50, "RES 0402 7.50Ohm 1/16W", 7.50, 0402, 1/16, Digikey, 541-7.5LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_7.68, "RES 0402 7.68Ohm 1/16W", 7.68, 0402, 1/16, Digikey, 541-7.68LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
RES0402_7.87, "RES 0402 7.87Ohm 1/16W", 7.87, 0402, 1/16, Digikey, 541-7.87LLCT-ND, Atlantix_R.SchLib, Res1, Atlantix_R.PcbLib, RES0402 , Atlantix EDA, =Description 
